player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random3,4,9,43,7,1,3,1,False
Random4,4,9,14,7,2,3,1,False
DQN,4,10,53,14,0,12,0,False
Random2,4,10,51,3,1,3,2,False
Random3,4,10,42,-1,3,3,1,False
Random4,4,10,14,-1,2,3,1,False
DQN,4,11,53,0,2,13,0,False
Random2,4,11,66,15,0,3,2,False
Random3,4,11,43,1,1,3,1,False
Random4,4,11,14,1,2,3,1,False
DQN,4,12,75,22,0,13,0,False
Random2,4,12,70,4,1,3,2,False
Random3,4,12,43,0,2,3,1,False
Random4,4,12,4,0,3,3,1,False
DQN,4,13,88,13,0,13,0,False
Random2,4,13,73,3,2,3,2,False
Random3,4,13,47,4,1,3,1,False
Random4,4,13,0,4,3,3,1,False
DQN,4,14,98,10,0,13,0,False
Random2,4,14,73,0,2,3,2,False
Random3,4,14,53,6,1,3,1,False
Random4,4,14,0,6,2,3,1,False
DQN,4,15,91,-7,3,14,0,False
Random2,4,15,73,0,2,3,2,False
Random3,4,15,73,20,0,3,1,False
Random4,4,15,3,20,1,3,1,False
DQN,4,16,96,5,1,14,0,False
Random2,4,16,74,1,3,3,2,False
Random3,4,16,80,7,0,3,1,False
Random4,4,16,6,7,2,3,1,False
DQN,4,17,86,-10,3,15,0,False
Random2,4,17,79,5,1,3,2,False
Random3,4,17,83,3,2,3,1,False
Random4,4,17,24,3,0,3,1,False
DQN,4,17,102,16,0,15,0,True
Random2,4,17,72,-7,3,3,2,True
Random3,4,17,86,3,2,3,1,True
Random4,4,17,28,3,1,3,2,True
DQN,5,1,0,0,2,15,0,False
Random2,5,1,-2,-2,3,3,2,False
Random3,5,1,14,14,0,3,1,False
Random4,5,1,4,14,1,3,2,False
DQN,5,2,17,17,0,15,0,False
Random2,5,2,-1,1,2,3,2,False
Random3,5,2,4,-10,3,3,1,False
Random4,5,2,12,-10,1,3,2,False
DQN,5,3,20,3,1,15,0,False
Random2,5,3,0,1,2,3,2,False
Random3,5,3,17,13,0,3,1,False
Random4,5,3,11,13,3,3,2,False
DQN,5,4,21,1,2,16,0,False
Random2,5,4,9,9,0,3,2,False
Random3,5,4,18,1,2,3,1,False
Random4,5,4,16,1,1,3,2,False
DQN,5,5,21,0,2,16,0,False
Random2,5,5,2,-7,3,3,2,False
Random3,5,5,21,3,1,3,1,False
Random4,5,5,36,3,0,3,2,False
DQN,5,6,12,-9,3,17,0,False
Random2,5,6,11,9,1,3,2,False
Random3,5,6,37,16,0,3,1,False
Random4,5,6,36,16,2,3,2,False
DQN,5,7,15,3,1,17,0,False
Random2,5,7,11,0,2,3,2,False
Random3,5,7,37,0,2,3,1,False
Random4,5,7,49,0,0,3,2,False
DQN,5,8,19,4,1,17,0,False
Random2,5,8,2,-9,3,3,2,False
Random3,5,8,54,17,0,3,1,False
Random4,5,8,53,17,1,3,2,False
