player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
ISMCTS,5,1,0,0,2,20,5,False
DQN,5,1,5,5,3,23,0,False
Random3,5,1,-4,-4,1,0,0,False
Random4,5,1,15,-4,4,0,0,False
ISMCTS,5,2,-10,-10,1,20,5,False
DQN,5,2,19,14,4,24,0,False
Random3,5,2,3,7,3,0,0,False
Random4,5,2,20,7,2,0,0,False
ISMCTS,5,3,-10,0,2,20,5,False
DQN,5,3,13,-6,1,24,0,False
Random3,5,3,21,18,4,0,0,False
Random4,5,3,24,18,3,0,0,False
ISMCTS,5,4,-7,3,3,20,5,False
DQN,5,4,13,0,1,24,0,False
Random3,5,4,34,13,4,0,0,False
Random4,5,4,24,13,1,0,0,False
ISMCTS,5,5,-16,-9,1,20,5,False
DQN,5,5,17,4,2,24,0,False
Random3,5,5,40,6,3,0,0,False
Random4,5,5,39,6,4,0,0,False
ISMCTS,5,6,4,20,4,21,5,False
DQN,5,6,17,0,2,24,0,False
Random3,5,6,42,2,3,0,0,False
Random4,5,6,33,2,1,0,0,False
ISMCTS,5,7,5,1,1,21,5,False
DQN,5,7,21,4,2,24,0,False
Random3,5,7,49,7,4,0,0,False
Random4,5,7,37,7,2,0,0,False
ISMCTS,5,8,6,1,2,21,5,False
DQN,5,8,23,2,3,24,0,False
Random3,5,8,49,0,1,0,0,False
Random4,5,8,50,0,4,0,0,False
ISMCTS,5,9,15,9,4,22,5,False
DQN,5,9,24,1,1,24,0,False
Random3,5,9,51,2,2,0,0,False
Random4,5,9,54,2,3,0,0,False
ISMCTS,5,10,15,0,2,22,5,False
DQN,5,10,40,16,4,25,0,False
Random3,5,10,59,8,3,0,0,False
Random4,5,10,46,8,1,0,0,False
ISMCTS,5,11,20,5,3,22,5,False
DQN,5,11,40,0,1,25,0,False
Random3,5,11,59,0,1,0,0,False
Random4,5,11,57,0,4,0,0,False
ISMCTS,5,12,26,6,3,23,5,False
DQN,5,12,44,4,2,25,0,False
